candidate,target,fp_rate,fn_rate,pred_pos_rate,true_pos_rate,brier
raw_timeline_composite,Q1,0.16,0.15333333333333332,0.5022222222222222,0.4955555555555556,0.202586447360489
raw_timeline_composite,Q2,0.29777777777777775,0.19333333333333333,0.6666666666666666,0.5622222222222222,0.2420042036720948
raw_timeline_composite,Q3,0.24222222222222223,0.15777777777777777,0.6844444444444444,0.6,0.2316016403516717
raw_timeline_composite,S1,0.14666666666666667,0.08,0.7488888888888889,0.6822222222222222,0.15857733380158423
raw_timeline_composite,S2,0.1688888888888889,0.11333333333333333,0.7066666666666667,0.6511111111111111,0.1826034806718568
raw_timeline_composite,S3,0.1688888888888889,0.10222222222222223,0.7288888888888889,0.6622222222222223,0.17830131655285253
raw_timeline_composite,S4,0.20444444444444446,0.15333333333333332,0.6111111111111112,0.56,0.21704263174205377
raw_timeline_fp_guard,Q1,0.16,0.15333333333333332,0.5022222222222222,0.4955555555555556,0.202586447360489
raw_timeline_fp_guard,Q2,0.29777777777777775,0.19333333333333333,0.6666666666666666,0.5622222222222222,0.2420042036720948
raw_timeline_fp_guard,Q3,0.24222222222222223,0.15777777777777777,0.6844444444444444,0.6,0.2316016403516717
raw_timeline_fp_guard,S1,0.14666666666666667,0.08,0.7488888888888889,0.6822222222222222,0.15857733380158423
raw_timeline_fp_guard,S2,0.1688888888888889,0.11333333333333333,0.7066666666666667,0.6511111111111111,0.1826034806718568
raw_timeline_fp_guard,S3,0.1688888888888889,0.10222222222222223,0.7288888888888889,0.6622222222222223,0.17830131655285253
raw_timeline_fp_guard,S4,0.20444444444444446,0.15333333333333332,0.6111111111111112,0.56,0.21704263174205377
raw_timeline_full,Q1,0.13777777777777778,0.16666666666666666,0.4666666666666667,0.4955555555555556,0.20246830232784183
raw_timeline_full,Q2,0.37777777777777777,0.028888888888888888,0.9111111111111111,0.5622222222222222,0.2400835161316639
raw_timeline_full,Q3,0.3,0.07777777777777778,0.8222222222222222,0.6,0.22846607472091446
raw_timeline_full,S1,0.15555555555555556,0.07555555555555556,0.7622222222222222,0.6822222222222222,0.1587189506017532
raw_timeline_full,S2,0.19111111111111112,0.08,0.7622222222222222,0.6511111111111111,0.18158790044976755
raw_timeline_full,S3,0.2088888888888889,0.05555555555555555,0.8155555555555556,0.6622222222222223,0.1769188077699328
raw_timeline_full,S4,0.21777777777777776,0.14666666666666667,0.6311111111111111,0.56,0.21669171953281574
raw_timeline_last,Q1,0.16,0.15333333333333332,0.5022222222222222,0.4955555555555556,0.202586447360489
raw_timeline_last,Q2,0.32666666666666666,0.14,0.7488888888888889,0.5622222222222222,0.2516703966701588
raw_timeline_last,Q3,0.32222222222222224,0.07333333333333333,0.8488888888888889,0.6,0.23024102350764095
raw_timeline_last,S1,0.20444444444444446,0.042222222222222223,0.8444444444444444,0.6822222222222222,0.16307075029041088
raw_timeline_last,S2,0.14222222222222222,0.16,0.6333333333333333,0.6511111111111111,0.18798854652510058
raw_timeline_last,S3,0.24444444444444444,0.04666666666666667,0.86,0.6622222222222223,0.18356758477095753
raw_timeline_last,S4,0.24666666666666667,0.13111111111111112,0.6755555555555556,0.56,0.21884951934276847
